seed,rating,uscf,name,fed,uscfid,expire,FIDE ID,schedule,byes,,
 53 , 2326 , 2373 IM , Mark Ginsburg , AZ , 10172918 , Life , 2000563 , 5day ," 1,2,3,9 ",  ,  
 54 , 2316 , 2396 FM , Jennifer R Yu , VA , 14117950 , 02/25 , 2078341 , 5day ,  ,  ,  
 55 , 2315 , 2417 FM , Joshua Colas , NY , 13242201 , 12/21 , 2044447 , 5day ,  ,  , ** 
 56 , 2312 , 2422 FM , Jason Wang , OH , 15162675 , 04/24 , 30908124 , 5day ,  ,  ,  
 57 , 2305 , 2392 FM , Nikhil Kumar , FL , 14982402 , 01/22 , 30909040 , 5day ,  ,  ,  
 58 , 2287 , 2396 FM , Seth Homa , MI , 12838750 , 09/22 , 2031779 , 5day ,  ,  ,  
 59 , 2287 , 2338 IM , Vincent E McCambridge , CA , 10441595 , 03/22 , 2000342 , 5day ,  ,  ,  
 60 , 2283 , 2333 FM , Isaac Valentino Tello Chavez , MEX , 30076417 , 12/21 , 5114241 , 5day ,  ,  ,  
 61 , 2278 , 2333 FM , Andrew Boekhoff , CA , 12685687 , 06/22 , 2024292 , 5day ,  ,  ,  
 62 , 2276 , 2389 FM , Nico Chasin , NY , 14955471 , 10/21 , 30908477 , 5day ,  ,  ,  
 63 , 2275 , 2350 , Kevin Shen Yang , CA , 14715374 , 02/23 , 30908485 , 5day , 9 ,  ,  
 64 , 2270 , 2391 FM , Sean Vibbert , TN , 21004359 , 03/22 , 2030292 , 5day ,  ,  ,  
 65 , 2270 , 2346 FM , Eric Li , CA , 15688436 , 03/23 , 30939941 , 5day ,  ,  , ** 
 66 , 2259 , 2358 IM , Alexander John Costello , CA , 14702870 , 08/22 , 2099659 , 5day ,  ,  ,  
 67 , 2256 , 2399 FM , Joshua Posthuma , MI , 13856778 , 08/22 , 2096889 , 5day ,  ,  ,  
 68 , 2253 , 2387 , Nicholas F Matta , LA , 12845401 , 10/21 , 30914523 , 5day ,  ,  ,  
 69 , 2252 , 2337 , Kirk Ghazarian , CA , 14885268 , 07/21 , 30908604 , 5day ,  ,  , ** 
 70 , 2251 , 2315 CM , Joshua Grabinsky , OR , 14729181 , 09/23 , 30919754 , 5day ,  ,  ,  
 71 , 2244 , 2328 FM , Todd D Andrews , TN , 12583055 , 06/21 , 2012456 , 5day ,  ,  ,  
